image,num_detections,mean_entropy,min_confidence,uncertainty_score
00719.jpg,1,0.9994,0.4855,0.9994
00612.jpg,1,0.9993,0.5152,0.9993
00678.jpg,1,0.9989,0.4807,0.9989
00876.jpg,1,0.9954,0.4602,0.9954
00805.jpg,1,0.9944,0.544,0.9944
00622.jpg,1,0.994,0.4546,0.994
00867.jpg,2,0.9958,0.4462,0.9937
00862.jpg,1,0.9929,0.4506,0.9929
00863.jpg,2,0.9942,0.4426,0.9923
00717.jpg,1,0.9918,0.5533,0.9918
00728.jpg,1,0.9905,0.4425,0.9905
00741.jpg,1,0.9905,0.4426,0.9905
00849.jpg,2,0.9848,0.4642,0.9905
00798.jpg,1,0.9893,0.4391,0.9893
00610.jpg,2,0.9927,0.4293,0.9891
00604.jpg,1,0.9884,0.4366,0.9884
00740.jpg,1,0.9877,0.4347,0.9877
00720.jpg,1,0.9852,0.5716,0.9852
00729.jpg,1,0.9845,0.5732,0.9845
00607.jpg,1,0.9841,0.5741,0.9841
00816.jpg,1,0.9823,0.4219,0.9823
00822.jpg,1,0.9813,0.5804,0.9813
00775.jpg,1,0.981,0.419,0.981
00725.jpg,2,0.965,0.4565,0.9797
00895.jpg,2,0.9596,0.5262,0.9788
00897.jpg,1,0.9776,0.412,0.9776
00889.jpg,2,0.9578,0.5322,0.9774
00616.jpg,1,0.9727,0.597,0.9727
00686.jpg,1,0.9703,0.601,0.9703
00702.jpg,1,0.9701,0.3985,0.9701
00864.jpg,1,0.9697,0.3979,0.9697
00653.jpg,2,0.9712,0.3871,0.9671
00749.jpg,2,0.9737,0.3756,0.9643
00853.jpg,2,0.9351,0.4526,0.9643
00787.jpg,1,0.9635,0.612,0.9635
00771.jpg,1,0.9596,0.6178,0.9596
00818.jpg,1,0.9555,0.6235,0.9555
00605.jpg,2,0.9584,0.3576,0.9496
00837.jpg,1,0.949,0.3678,0.949
00859.jpg,1,0.9476,0.3661,0.9476
00697.jpg,1,0.9466,0.6352,0.9466
00690.jpg,2,0.8934,0.5161,0.9463
00782.jpg,1,0.9427,0.36,0.9427
00703.jpg,1,0.9391,0.6442,0.9391
00701.jpg,2,0.9587,0.3334,0.9385
00857.jpg,2,0.8914,0.5716,0.9383
00831.jpg,2,0.8972,0.5855,0.938
00821.jpg,2,0.881,0.4551,0.9376
00673.jpg,2,0.8733,0.5112,0.9365
00899.jpg,1,0.9361,0.6477,0.9361
00887.jpg,1,0.9347,0.3507,0.9347
00656.jpg,1,0.9322,0.3479,0.9322
00774.jpg,1,0.9322,0.652,0.9322
00723.jpg,3,0.8671,0.4528,0.9303
00766.jpg,1,0.9297,0.6548,0.9297
00671.jpg,2,0.8851,0.3957,0.9267
00893.jpg,1,0.9265,0.6582,0.9265
00871.jpg,2,0.8568,0.4512,0.925
00689.jpg,2,0.9276,0.336,0.9243
00602.jpg,1,0.9233,0.6616,0.9233
00855.jpg,2,0.9453,0.3167,0.923
00812.jpg,1,0.9224,0.3375,0.9224
00669.jpg,1,0.9223,0.6627,0.9223
00813.jpg,2,0.9337,0.3251,0.9218
00624.jpg,3,0.8449,0.4767,0.9217
00866.jpg,2,0.8532,0.5704,0.9195
00783.jpg,1,0.9151,0.3302,0.9151
00802.jpg,1,0.9131,0.3282,0.9131
00747.jpg,2,0.8477,0.5883,0.9125
00888.jpg,2,0.9295,0.3069,0.9095
00894.jpg,2,0.8596,0.3716,0.9058
00779.jpg,1,0.9054,0.679,0.9054
00811.jpg,1,0.9049,0.6796,0.9049
00647.jpg,2,0.8149,0.4458,0.9032
00796.jpg,1,0.8991,0.3153,0.8991
00789.jpg,1,0.8975,0.3138,0.8975
00760.jpg,1,0.895,0.3116,0.895
00852.jpg,1,0.8947,0.3113,0.8947
00891.jpg,2,0.9233,0.284,0.8921
00809.jpg,2,0.7792,0.5367,0.8876
00823.jpg,2,0.7752,0.491,0.8875
00839.jpg,3,0.7839,0.559,0.8869
00785.jpg,3,0.9393,0.2643,0.8862
00679.jpg,2,0.7761,0.4606,0.8858
00665.jpg,2,0.7793,0.4438,0.8851
00732.jpg,1,0.8844,0.3025,0.8844
00626.jpg,2,0.8385,0.6636,0.8799
00651.jpg,2,0.7623,0.5533,0.877
00773.jpg,2,0.8246,0.3442,0.8767
00780.jpg,3,0.7599,0.4338,0.8736
00631.jpg,1,0.873,0.7066,0.873
00714.jpg,1,0.8725,0.7071,0.8725
00615.jpg,2,0.7653,0.414,0.8719
00742.jpg,2,0.7655,0.4116,0.8714
00808.jpg,2,0.7611,0.4183,0.8709
00817.jpg,1,0.8701,0.7089,0.8701
00746.jpg,3,0.8352,0.3122,0.8654
00608.jpg,1,0.8647,0.7131,0.8647
00770.jpg,2,0.8796,0.2759,0.8647
00724.jpg,1,0.863,0.2856,0.863
00846.jpg,2,0.7827,0.3593,0.8624
00648.jpg,1,0.8619,0.2848,0.8619
00820.jpg,2,0.9056,0.2525,0.8604
00758.jpg,1,0.8602,0.2835,0.8602
00764.jpg,1,0.86,0.2834,0.86
00650.jpg,2,0.8797,0.2672,0.8586
00778.jpg,1,0.8561,0.7195,0.8561
00611.jpg,1,0.8535,0.7214,0.8535
00776.jpg,2,0.7531,0.6258,0.8535
00682.jpg,2,0.7726,0.6567,0.8503
00788.jpg,1,0.8503,0.7237,0.8503
00722.jpg,2,0.8046,0.689,0.8495
00675.jpg,2,0.7111,0.429,0.8483
00885.jpg,1,0.8478,0.2745,0.8478
00882.jpg,1,0.8446,0.7278,0.8446
00606.jpg,1,0.8445,0.2721,0.8445
00688.jpg,2,0.7183,0.3961,0.8435
00716.jpg,2,0.8329,0.7214,0.8432
00733.jpg,3,0.7795,0.3197,0.8417
00744.jpg,2,0.7446,0.3532,0.8407
00827.jpg,2,0.7528,0.6568,0.8403
00657.jpg,1,0.839,0.7317,0.839
00646.jpg,1,0.8373,0.2671,0.8373
00755.jpg,4,0.6663,0.5384,0.831
00896.jpg,1,0.8228,0.7426,0.8228
00639.jpg,1,0.8221,0.257,0.8221
00683.jpg,2,0.781,0.7272,0.8132
00691.jpg,2,0.7927,0.7371,0.8119
00884.jpg,1,0.8087,0.7516,0.8087
00712.jpg,2,0.6807,0.3378,0.8017
00886.jpg,1,0.8001,0.7569,0.8001
00693.jpg,1,0.7767,0.7707,0.7767
00824.jpg,1,0.7745,0.772,0.7745
00806.jpg,2,0.7005,0.2635,0.7662
00619.jpg,1,0.7638,0.778,0.7638
00698.jpg,1,0.7628,0.7786,0.7628
00659.jpg,1,0.7521,0.7844,0.7521
00898.jpg,2,0.6812,0.2524,0.7482
00784.jpg,1,0.7425,0.7895,0.7425
00874.jpg,1,0.7358,0.793,0.7358
00828.jpg,1,0.7307,0.7956,0.7307
00635.jpg,1,0.7275,0.7972,0.7275
00637.jpg,1,0.7252,0.7983,0.7252
00845.jpg,1,0.7163,0.8028,0.7163
00825.jpg,1,0.7119,0.805,0.7119
00705.jpg,1,0.7093,0.8062,0.7093
00670.jpg,1,0.701,0.8102,0.701
00765.jpg,1,0.6978,0.8117,0.6978
00865.jpg,1,0.6892,0.8158,0.6892
00761.jpg,1,0.6877,0.8165,0.6877
00794.jpg,1,0.6789,0.8205,0.6789
00695.jpg,1,0.6686,0.8252,0.6686
00700.jpg,1,0.666,0.8263,0.666
00810.jpg,2,0.6525,0.8275,0.6579
00692.jpg,1,0.6499,0.8334,0.6499
00854.jpg,1,0.649,0.8338,0.649
00803.jpg,2,0.5965,0.8104,0.6485
00754.jpg,1,0.642,0.8368,0.642
00680.jpg,2,0.5994,0.8258,0.6333
00730.jpg,1,0.6324,0.8408,0.6324
00872.jpg,1,0.6265,0.8432,0.6265
00704.jpg,1,0.6249,0.8439,0.6249
00762.jpg,1,0.6232,0.8446,0.6232
00699.jpg,1,0.6216,0.8453,0.6216
00625.jpg,1,0.6164,0.8474,0.6164
00801.jpg,1,0.6155,0.8477,0.6155
00621.jpg,1,0.6117,0.8493,0.6117
00661.jpg,1,0.6051,0.8519,0.6051
00620.jpg,1,0.5989,0.8543,0.5989
00734.jpg,1,0.5962,0.8554,0.5962
00738.jpg,1,0.594,0.8562,0.594
00841.jpg,1,0.5836,0.8602,0.5836
00838.jpg,2,0.5722,0.8588,0.5798
00638.jpg,1,0.5796,0.8618,0.5796
00850.jpg,1,0.5747,0.8636,0.5747
00681.jpg,1,0.5682,0.866,0.5682
00685.jpg,1,0.5581,0.8698,0.5581
00664.jpg,1,0.5543,0.8711,0.5543
00777.jpg,1,0.5521,0.8719,0.5521
00632.jpg,1,0.5518,0.8721,0.5518
00848.jpg,1,0.5433,0.8751,0.5433
00807.jpg,1,0.5426,0.8754,0.5426
00609.jpg,1,0.5399,0.8763,0.5399
00633.jpg,1,0.5333,0.8786,0.5333
00654.jpg,1,0.5332,0.8787,0.5332
00791.jpg,1,0.5296,0.8799,0.5296
00613.jpg,1,0.5163,0.8845,0.5163
00881.jpg,1,0.5163,0.8845,0.5163
00834.jpg,1,0.5063,0.8879,0.5063
00660.jpg,1,0.5052,0.8882,0.5052
00844.jpg,1,0.5043,0.8885,0.5043
00674.jpg,1,0.4963,0.8912,0.4963
00658.jpg,1,0.4912,0.8929,0.4912
00756.jpg,1,0.48,0.8965,0.48
00795.jpg,1,0.4788,0.8969,0.4788
00644.jpg,1,0.4724,0.8989,0.4724
00667.jpg,1,0.4702,0.8996,0.4702
00860.jpg,1,0.4686,0.9001,0.4686
00710.jpg,1,0.4585,0.9033,0.4585
00842.jpg,1,0.4517,0.9054,0.4517
00833.jpg,1,0.4495,0.9061,0.4495
00851.jpg,1,0.4472,0.9068,0.4472
00662.jpg,1,0.4457,0.9072,0.4457
00649.jpg,1,0.4405,0.9088,0.4405
00752.jpg,1,0.4205,0.9147,0.4205
00642.jpg,1,0.3859,0.9246,0.3859
00634.jpg,1,0.3852,0.9247,0.3852
